text,label
الخدمة كانت سريعة وسهلة.,إيجابي
الموظف كان متعاونًا وشرح كل شيء.,إيجابي
تلقيت الرد خلال يوم واحد.,إيجابي
المنصة الإلكترونية عملت بدون مشاكل.,إيجابي
تمت المعاملة باحترام واحترافية.,إيجابي
تم حل مشكلتي فورًا بعد رفع الطلب.,إيجابي
واجهة الموقع بسيطة وسهلة الاستخدام.,إيجابي
خدمة الدعم مفيدة وسريعة الاستجابة.,إيجابي
الإجراءات أتمت بنجاح دون الحاجة لزيارة المكتب.,إيجابي
الخدمة ممتازة والتنفيذ سريع.,إيجابي
التطبيق يعمل بشكل ممتاز وسلس.,إيجابي
الموظفين محترمين ومتعاونين للغاية.,إيجابي
تجربة رائعة وسلسة من البداية للنهاية.,إيجابي
الدعم الفني ممتاز وسريع في الحل.,إيجابي
النظام سهل الاستخدام وواضح.,إيجابي
الخدمة رهيبة وجميلة,إيجابي
الموظفين روعة ومتعاونين,إيجابي
تجربة رائعة والله,إيجابي
شغل نظيف وممتاز,إيجابي
كل شي تمام ومافي مشاكل,إيجابي
الخدمة توب وسريعة,إيجابي
ما شاء الله خدمة حلوة,إيجابي
الموظف كتير محترم ومتعاون,إيجابي
التطبيق كتير سهل وعملي,إيجابي
خدمة ممتازة ما عليها كلام,إيجابي
الشغل كتير منظم ومرتب,إيجابي
فريق العمل رائع والتعامل راقي,إيجابي
تعامل ممتاز وخدمة سريعة,إيجابي
كل شي على ما يرام والخدمة حلوة,إيجابي
المكالمة كانت واضحة والتغطية ممتازة,إيجابي
أفضل خدمة حصلت عليها,إيجابي
خدمة عملاء ممتازة جداً,إيجابي
تجربة فوق الممتازة بكثير,إيجابي
راضي جداً عن الخدمة,إيجابي
الخدمة تستحق خمس نجوم,إيجابي
أنصح الجميع بالتعامل معهم,إيجابي
خدمة احترافية على أعلى مستوى,إيجابي
سعيد جداً بالتجربة,إيجابي
الخدمة فاقت توقعاتي,إيجابي
تجربة ممتازة ورائعة,إيجابي
الموظفين في قمة الاحترافية,إيجابي
خدمة سريعة وفعالة جداً,إيجابي
راح أجدد الاشتراك بدون تفكير,إيجابي
أحسن شركة اتصالات في الأردن,إيجابي
النت سريع والتغطية ممتازة في كل مكان,إيجابي
الباقة مناسبة والسعر معقول,إيجابي
العروض حلوة والأسعار منافسة,إيجابي
الإنترنت سريع والتحميل ممتاز,إيجابي
التطبيق سهل وفيه كل المعلومات,إيجابي
الفواتير واضحة ومافي مصاريف مخفية,إيجابي
الخدمة كانت بطيئة جدًا.,سلبي
الموظف لم يكن متعاونًا.,سلبي
انتظرت أسبوعين للرد.,سلبي
المنصة لا تعمل بشكل صحيح.,سلبي
المعاملة كانت سيئة.,سلبي
لم يتم حل مشكلتي.,سلبي
واجهة الموقع معقدة.,سلبي
خدمة الدعم ضعيفة.,سلبي
الإجراءات صعبة ومعقدة.,سلبي
الخدمة سيئة والتنفيذ بطيء.,سلبي
التطبيق يتعطل باستمرار.,سلبي
خدمة العملاء غير متعاونة.,سلبي
الموظفون غير مهتمين بحل المشاكل.,سلبي
الرد على الاستفسارات بطيء جداً.,سلبي
النظام معقد وصعب الاستخدام.,سلبي
الخدمة زفت والموظفين مش متعاونين,سلبي
تجربة سيئة وفاشلة,سلبي
كل شي خراب ومافي تنظيم,سلبي
شغل وسخ وضعيف,سلبي
الموظفين زعلانين ومش مهتمين,سلبي
الخدمة مش زابطة معي,سلبي
التطبيق خربان وما بيشتغل,سلبي
النت بطيء كثير ومزعج,سلبي
التغطية سيئة وما في شبكة,سلبي
الموظف كان عصبي ومش محترم,سلبي
خدمة سيئة وما بتستاهل,سلبي
انتظرت كثير وما حد رد علي,سلبي
الفاتورة غالية وفيها مصاريف غريبة,سلبي
ما في حد بساعد وكلهم يحولوني,سلبي
الشغل مش منظم والموظفين ما بيعرفوا شي,سلبي
أسوأ خدمة حصلت عليها,سلبي
خدمة عملاء فاشلة تماماً,سلبي
تجربة سيئة جداً,سلبي
غير راضي بتاتاً عن الخدمة,سلبي
الخدمة لا تستحق حتى نجمة واحدة,سلبي
لا أنصح أحد بالتعامل معهم,سلبي
خدمة سيئة على كل المستويات,سلبي
محبط جداً من التجربة,سلبي
الخدمة أقل من التوقعات بكثير,سلبي
تجربة مخيبة للآمال,سلبي
الموظفين غير مؤهلين,سلبي
خدمة بطيئة وغير فعالة,سلبي
راح ألغي الاشتراك وأروح لشركة ثانية,سلبي
أسوأ شركة اتصالات جربتها,سلبي
النت بطيء والتغطية سيئة في كل مكان,سلبي
الباقة غالية والسعر مبالغ فيه,سلبي
العروض مش واضحة والأسعار مخفية,سلبي
الإنترنت بطيء والتحميل معطل,سلبي
التطبيق صعب ومش واضح,سلبي
الفواتير مش واضحة وفيها مصاريف مخفية,سلبي
